station,date,total_case
9601,2023-06-19,2
9601,2023-06-26,9
9601,2023-07-03,5
9601,2023-07-10,4
9601,2023-07-17,10
9601,2023-07-24,12
9601,2023-07-31,15
9601,2023-08-07,16
9601,2023-08-14,9
9601,2023-08-21,16
9601,2023-08-28,15
9601,2023-09-04,12
9601,2023-09-11,14
9601,2023-09-18,19
9601,2023-09-25,14
9601,2023-10-02,7
9601,2023-10-09,8
9601,2023-10-16,9
9601,2023-10-23,9
9601,2023-10-30,10
9601,2023-11-06,16
9601,2023-11-13,9
9601,2023-11-20,9
9601,2023-11-27,3
9601,2023-12-04,1
9601,2023-12-11,2
9601,2023-12-18,3
9601,2023-12-25,1
9602,2019-01-07,2
9602,2019-01-14,1
9602,2019-01-21,2
9602,2019-01-28,2
9602,2019-02-04,2
9602,2019-02-11,4
9602,2019-02-18,0
9602,2019-02-25,1
9602,2019-03-04,0
9602,2019-03-11,1
9602,2019-03-18,0
9602,2019-03-25,0
9602,2019-04-01,0
9602,2019-04-08,3
9602,2019-04-15,2
9602,2019-04-22,0
9602,2019-04-29,0
9602,2019-05-06,1
9602,2019-05-13,0
9602,2019-05-20,1
9602,2019-05-27,0
9602,2019-06-03,0
9602,2019-06-10,2
9602,2019-06-17,0
9602,2019-06-24,1
9602,2019-07-01,1
9602,2019-07-08,5
9602,2019-07-15,4
9602,2019-07-22,2
9602,2019-07-29,2
9602,2019-08-05,7
9602,2019-08-12,3
9602,2019-08-19,6
9602,2019-08-26,2
9602,2019-09-02,2
9602,2019-09-09,2
9602,2019-09-16,2
9602,2019-09-23,2
9602,2019-09-30,1
9602,2019-10-07,1
9602,2019-10-14,1
9602,2019-10-21,2
9602,2019-10-28,1
9602,2019-11-04,2
9602,2019-11-11,2
9602,2019-11-18,1
9602,2019-11-25,2
9602,2019-12-02,2
9602,2019-12-09,1
9602,2019-12-16,1
9602,2019-12-23,0
9602,2019-12-30,1
9602,2020-01-06,0
9602,2020-01-13,0
9602,2020-01-20,0
9602,2020-01-27,2
9602,2020-02-03,1
9602,2020-02-10,0
9602,2020-02-17,1
9602,2020-02-24,0
9602,2020-03-02,0
9602,2020-03-09,1
9602,2020-03-16,2
9602,2020-03-23,0
9602,2020-03-30,0
9602,2020-04-06,0
9602,2020-04-13,0
9602,2020-04-20,0
9602,2020-04-27,0
9602,2020-05-04,0
9602,2020-05-11,0
9602,2020-05-18,0
9602,2020-05-25,0
9602,2020-06-01,0
9602,2020-06-08,0
9602,2020-06-15,0
9602,2020-06-22,0
9602,2020-06-29,0
9602,2020-07-06,0
9602,2020-07-13,0
9602,2020-07-20,3
9602,2020-07-27,2
9602,2020-08-03,3
9602,2020-08-10,5
9602,2020-08-17,0
9602,2020-08-24,0
9602,2020-08-31,0
9602,2020-09-07,1
9602,2020-09-14,3
9602,2020-09-21,2
9602,2020-09-28,2
9602,2020-10-05,0
9602,2020-10-12,1
9602,2020-10-19,0
9602,2020-10-26,0
9602,2020-11-02,0
9602,2020-11-09,1
9602,2020-11-16,0
9602,2020-11-23,0
9602,2020-11-30,0
9602,2020-12-07,0
9602,2020-12-14,0
9602,2020-12-21,0
