date,rain
2019-06-01,0
2019-06-02,0
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,2.4
2019-06-08,23
2019-06-09,0.2
2019-06-10,4.8
2019-06-11,2.8
2019-06-12,3.4
2019-06-13,10.2
2019-06-14,0
2019-06-15,3.8
2019-06-16,0.8
2019-06-17,0.2
2019-06-18,2
2019-06-19,0.4
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,11
2019-06-25,17
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,1
2019-06-30,0.2
