date,rain
2019-10-01,1.2
2019-10-02,1.8
2019-10-03,0.6
2019-10-04,0.8
2019-10-05,1
2019-10-06,14.8
2019-10-07,10.2
2019-10-08,0.8
2019-10-09,4
2019-10-10,1.8
2019-10-11,1.6
2019-10-12,0.6
2019-10-13,10.8
2019-10-14,1.4
2019-10-15,4
2019-10-16,2.2
2019-10-17,3
2019-10-18,6.2
2019-10-19,6
2019-10-20,10.6
2019-10-21,3.4
2019-10-22,12.6
2019-10-23,1.4
2019-10-24,3
2019-10-25,2
2019-10-26,5.6
2019-10-27,0.8
2019-10-28,1.8
2019-10-29,0.6
2019-10-30,17.2
2019-10-31,2.2
