date,rain
2020-07-01,-
2020-07-02,0
2020-07-03,-
2020-07-04,-
2020-07-05,0
2020-07-06,-
2020-07-07,-
2020-07-08,12.4
2020-07-09,-
2020-07-10,-
2020-07-11,12.4
2020-07-12,0
2020-07-13,-
2020-07-14,0
2020-07-15,-
2020-07-16,-
2020-07-17,0
2020-07-18,-
2020-07-19,0.2
2020-07-20,-
2020-07-21,4.8
2020-07-22,-
2020-07-23,0
2020-07-24,-
2020-07-25,0
2020-07-26,-
2020-07-27,9
2020-07-28,-
2020-07-29,0
2020-07-30,-
2020-07-31,-
