date,rain
2020-11-01,0
2020-11-02,11.8
2020-11-03,0.2
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,18.6
2020-11-08,13.6
2020-11-09,4
2020-11-10,1
2020-11-11,28.2
2020-11-12,102.2
2020-11-13,31.8
2020-11-14,0
2020-11-15,0
2020-11-16,7.2
2020-11-17,10.4
2020-11-18,14
2020-11-19,4.4
2020-11-20,24
2020-11-21,30.4
2020-11-22,4.2
2020-11-23,4
2020-11-24,0
2020-11-25,55.4
2020-11-26,7.8
2020-11-27,20.4
2020-11-28,1.2
2020-11-29,86.6
2020-11-30,45.8
