date,station,temp
2019-01-07,9611,27.388372093023253
2019-01-14,9611,27.35
2019-01-21,9611,27.066423357664235
2019-01-28,9611,26.801923076923078
2019-02-04,9611,28.123076923076926
2019-02-11,9611,28.581147540983608
2019-02-18,9611,27.767142857142858
2019-02-25,9611,28.583333333333332
2019-03-04,9611,27.72578125
2019-03-11,9611,29.275
2019-03-18,9611,29.431159420289855
2019-03-25,9611,29.813533834586465
2019-04-01,9611,29.423684210526314
2019-04-08,9611,30.097241379310347
2019-04-15,9611,31.226797385620912
2019-04-22,9611,32.14705882352941
2019-04-29,9611,30.721678321678322
2019-05-06,9611,31.154000000000003
2019-05-13,9611,31.686842105263157
2019-05-20,9611,30.25
2019-05-27,9611,30.366451612903226
2019-06-03,9611,31.19679487179487
2019-06-10,9611,29.77735849056604
2019-06-17,9611,30.61006289308176
2019-06-24,9611,29.9253164556962
2019-07-01,9611,30.2575
2019-07-08,9611,30.61375
2019-07-15,9611,29.838749999999997
2019-07-22,9611,29.975925925925928
2019-07-29,9611,29.79423076923077
2019-08-05,9611,31.08675496688742
2019-08-12,9611,30.031506849315072
2019-08-19,9611,29.76644295302013
2019-08-26,9611,29.403870967741938
2019-09-02,9611,29.985333333333333
2019-09-09,9611,29.665408805031447
2019-09-16,9611,29.39113924050633
2019-09-23,9611,29.901324503311262
2019-09-30,9611,29.31788079470199
2019-10-07,9611,28.869999999999997
2019-10-14,9611,28.794409937888197
2019-10-21,9611,28.387349397590363
2019-10-28,9611,27.03397435897436
2019-11-04,9611,27.917283950617286
2019-11-11,9611,27.284939759036146
2019-11-18,9611,27.315094339622643
2019-11-25,9611,26.731168831168834
2019-12-02,9611,24.692727272727275
2019-12-09,9611,25.021875
2019-12-16,9611,26.025170068027208
2019-12-23,9611,26.470370370370368
2019-12-30,9611,27.495151515151512
2020-01-06,9611,27.320245398773004
2020-01-13,9611,28.05375
2020-01-20,9611,27.00875
2020-01-27,9611,27.8159509202454
2020-02-03,9611,28.12256097560976
2020-02-10,9611,26.805128205128206
2020-02-17,9611,27.794904458598726
2020-02-24,9611,27.215060240963854
2020-03-02,9611,28.833333333333332
2020-03-09,9611,30.14012345679012
2020-03-16,9611,30.826708074534164
2020-03-23,9611,29.239751552795035
2020-03-30,9611,30.4775
2020-04-06,9611,30.234782608695653
2020-04-13,9611,31.223125
2020-04-20,9611,31.614723926380368
2020-04-27,9611,29.57037037037037
2020-05-04,9611,29.20121212121212
2020-05-11,9611,31.13888888888889
2020-05-18,9611,30.1625
2020-05-25,9611,30.79512195121951
2020-06-01,9611,29.808588957055218
2020-06-08,9611,28.83782051282051
2020-06-15,9611,28.780254777070063
2020-06-22,9611,28.372222222222224
2020-06-29,9611,28.58974358974359
2020-07-06,9611,28.92738853503185
2020-07-13,9611,28.346153846153847
2020-07-20,9611,29.640243902439025
2020-07-27,9611,29.816770186335404
2020-08-03,9611,29.405095541401277
2020-08-10,9611,29.15779220779221
2020-08-17,9611,28.4075
2020-08-24,9611,28.544117647058822
2020-08-31,9611,28.944295302013423
2020-09-07,9611,29.2
2020-09-14,9611,27.959627329192546
2020-09-21,9611,28.55548780487805
2020-09-28,9611,28.200613496932515
2020-10-05,9611,28.220370370370368
2020-10-12,9611,28.485454545454548
2020-10-19,9611,28.488690476190477
2020-10-26,9611,27.11880341880342
2020-11-02,9611,27.150570128795938
2020-11-09,9611,27.18233683878845
2020-11-16,9611,27.21410354878097
2020-11-23,9611,27.245870258773486
2020-11-30,9611,27.277636968766004
2020-12-07,9611,27.309403678758517
2020-12-14,9611,27.341170388751035
2020-12-21,9611,27.372937098743552
2020-12-28,9611,27.404703808736066
2021-01-04,9611,27.436470518728584
2021-01-11,9611,27.4682372287211
2021-01-18,9611,27.50000393871362
2021-01-25,9611,27.531770648706132
2021-02-01,9611,27.56353735869865
2021-02-08,9611,27.595304068691167
2021-02-15,9611,27.62707077868368
2021-02-22,9611,27.6588374886762
2021-03-01,9611,27.690604198668716
2021-03-08,9611,27.72237090866123
2021-03-15,9611,27.754137618653747
2021-03-22,9611,27.785904328646264
2021-03-29,9611,27.81767103863878
2021-04-05,9611,27.849437748631296
2021-04-12,9611,27.881204458623813
2021-04-19,9611,27.91297116861633
2021-04-26,9611,27.944737878608844
2021-05-03,9611,27.97650458860136
2021-05-10,9611,28.00827129859388
2021-05-17,9611,28.040038008586397
2021-05-24,9611,28.07180471857891
2021-05-31,9611,28.103571428571428
2021-06-07,9611,27.663194444444443
2021-06-14,9611,27.96645569620253
2021-06-21,9611,27.146808510638298
2021-06-28,9611,28.213333333333335
2021-07-05,9611,27.26808510638298
2021-07-12,9611,27.967484662576688
2021-07-19,9611,29.400641025641026
2021-07-26,9611,28.476258992805754
2021-08-02,9611,28.48562091503268
2021-08-09,9611,27.990277777777777
2021-08-16,9611,27.21548387096774
2021-08-23,9611,27.465243902439024
2021-08-30,9611,28.014465408805034
2021-09-06,9611,27.680625
2021-09-13,9611,29.191304347826087
2021-09-20,9611,28.393788819875773
2021-09-27,9611,28.959627329192546
2021-10-04,9611,28.789285714285718
2021-10-11,9611,29.098148148148145
2021-10-18,9611,29.15705521472393
2021-10-25,9611,28.36
2021-11-01,9611,28.986746987951808
2021-11-08,9611,28.180838323353292
2021-11-15,9611,26.75449101796407
2021-11-22,9611,28.629940119760477
2021-11-29,9611,26.076219512195124
2021-12-06,9611,26.28433734939759
2021-12-13,9611,27.41488095238095
2021-12-20,9611,25.619875776397517
2021-12-27,9611,28.217964071856287
2022-01-03,9611,25.97738095238095
2022-01-10,9611,27.57857142857143
