date,total_case,temp,press,humidity,rain
2019-01-07,30.0,27.282259312241813,1005.8206886137922,85.89712603485759,7.777040816326531
2019-01-14,18.0,27.17741205264305,1005.0095839733798,81.64203663982491,4.164285714285714
2019-01-21,18.0,26.849482188627054,1007.0355665892164,79.54577462023131,0.6214285714285713
2019-01-28,23.0,27.27008259298104,1006.7820400547254,83.89031104917963,5.496281179138322
2019-02-04,28.0,27.90342487626752,1008.4521538432456,78.37856469239601,0.0780272108843537
2019-02-11,29.0,27.377460768624243,1009.7695613232833,80.07071869959464,3.1357142857142857
2019-02-18,20.0,28.465472839427644,1007.8904426456336,78.20186551919213,0.5589285714285714
2019-02-25,17.0,27.79522896711431,1005.9584556104884,77.07876412467262,0.0714285714285714
2019-03-04,20.0,28.004460724273287,1006.612088182839,75.9177736284714,0.0036904761904761
2019-03-11,22.0,29.06603986687833,1007.961191410174,75.09002991174653,0.0323809523809523
2019-03-18,22.0,29.377021846616167,1005.949733292632,73.61204373667043,0.0124999999999999
2019-03-25,24.0,28.66671437159962,1006.40869061432,81.03439674995093,6.64547619047619
2019-04-01,21.0,29.41711441752504,1006.79009325889,77.90385009571881,2.8075
2019-04-08,15.0,29.87047404569624,1005.1572439744442,77.22688145461811,2.401360544217688
2019-04-15,18.0,30.859489541274687,1004.4435737645388,75.67953065583463,0.4016666666666666
2019-04-22,19.0,30.31168207399009,1004.3042325001672,76.88982148512541,1.7955102040816324
2019-04-29,19.0,30.178782752990507,1005.9512466231618,79.29606771495448,7.371428571428572
2019-05-06,14.0,30.392621256900192,1004.7591644512402,75.09437646908849,1.4839874411302982
2019-05-13,17.0,29.464486615711746,1005.6641467149532,80.67707987475752,13.53469387755102
2019-05-20,21.0,29.19910671683356,1005.9102405968708,82.64352066066579,4.681632653061224
2019-05-27,15.0,29.617108052472823,1004.1397629991784,82.48959307465462,5.80843537414966
2019-06-03,29.0,28.77853274144012,1004.9993838615684,84.2091754861655,18.93700680272109
2019-06-10,43.0,29.71948685783635,1004.8474847276082,82.5672580449742,5.9918367346938775
2019-06-17,58.0,28.690433468519792,1004.6712789174366,83.29408899861747,6.089795918367348
2019-06-24,70.0,28.99889806759353,1005.1287157277582,83.65990081057396,7.871428571428572
2019-07-01,70.0,29.476211525053944,1005.0646791937136,82.1228219686457,1.2130298273155415
2019-07-08,65.0,28.24791111956651,1006.7491701626428,80.84715338951506,8.438775510204081
2019-07-15,104.0,28.747844055975683,1003.508630479917,82.13465941792234,4.57817896389325
2019-07-22,80.0,28.59322869151828,1005.6756893298168,81.78432517619511,6.459183673469389
2019-07-29,80.0,29.810506953186,1004.7567803770006,77.58111007487467,0.1406593406593406
2019-08-05,76.0,29.17454716845243,1002.9419538524264,78.72927261747623,2.56043956043956
2019-08-12,76.0,28.972431066155565,1005.5276397435536,82.52146934249252,8.97820512820513
2019-08-19,72.0,28.79001945504785,1005.3229510288484,81.54178810312354,9.704212454212454
2019-08-26,43.0,28.61881723160807,1004.096910535757,80.32978439216389,2.79010989010989
2019-09-02,45.0,29.29732119065984,1005.3760409493084,80.54623609457971,6.944139194139194
2019-09-09,40.0,28.261151185752308,1006.8583444860466,82.28240356736046,7.936263736263736
2019-09-16,38.0,28.613828589387936,1005.4202380405346,82.80449161482656,3.9890109890109886
2019-09-23,56.0,28.73063231767108,1007.7007744997928,82.67891927995397,4.887912087912087
2019-09-30,55.0,28.32552152712467,1006.8008644824612,81.88882538760534,4.8901098901098905
2019-10-07,53.0,27.931520420447583,1006.2414426197544,83.89986857224265,6.607938252223967
2019-10-14,62.0,27.461737005457035,1005.8018658080732,87.45059235548628,7.748214285714285
2019-10-21,79.0,27.263879515678138,1005.2601646506972,88.10795104847342,4.753571428571428
2019-10-28,50.0,27.24832314920857,1005.3726724030192,86.38181591951472,8.364285714285714
2019-11-04,54.0,26.75592293971105,1006.329129618816,88.27396832643258,16.975
2019-11-11,49.0,26.627352738208828,1006.0644099844257,89.70842851759653,6.580357142857143
2019-11-18,56.0,26.406192080703686,1006.4067175441512,89.32203780505202,13.021428571428572
2019-11-25,32.0,24.75161955788974,1005.7150885114312,96.38122385237207,37.74464285714286
2019-12-02,29.0,25.035945563172174,1007.7964633267736,92.1404688240635,8.691071428571428
2019-12-09,41.0,25.28996287016986,1007.3104912443926,89.60678724553783,6.832142857142857
2019-12-16,20.0,26.00066177817772,1006.22037748365,87.98535566518888,21.5125
2019-12-23,10.0,26.385020883912485,1006.7338731423454,83.31506020423818,0.0303571428571428
2019-12-30,23.0,26.933123141023497,1006.5816467634334,86.43946352254596,9.757465277777778
2020-01-06,26.0,26.952699843108594,1006.1604897204791,85.30433752375478,5.304625496031746
2020-01-13,29.0,26.97227654519369,1005.7393326775248,84.16921152496361,0.8517857142857144
2020-01-20,21.0,26.345550862840017,1007.073114256548,85.79535731969678,3.2607142857142857
2020-01-27,18.0,26.9369889375746,1007.0555317752116,83.25578983455651,0.5625000000000001
2020-02-03,23.0,27.00669170582182,1007.1428014891028,82.93419131096285,1.194642857142857
2020-02-10,7.0,25.948314209403023,1007.72259680148,84.74090238657537,9.25
2020-02-17,15.0,27.11500402679704,1007.2311819216272,86.32634187673557,7.980357142857144
2020-02-24,14.0,26.81088735586436,1008.9046142279458,84.08901120231883,2.45
2020-03-02,8.0,27.239424927731346,1005.9958574763496,81.48747427696244,0.0196428571428571
2020-03-09,7.0,28.339685887974507,1005.9199424866458,81.72101597633511,0.7267857142857144
2020-03-16,6.0,29.0625466391954,1005.8195800229342,80.76575050565621,0.0589285714285714
