date,station,rain
2019-01-07,9611,10.257142857142856
2019-01-14,9611,10.057142857142859
2019-01-21,9611,9.514285714285714
2019-01-28,9611,0.09999999999999999
2019-02-04,9611,3.8
2019-02-11,9611,0.0
2019-02-18,9611,5.0857142857142845
2019-02-25,9611,0.7428571428571429
2019-03-04,9611,0.39999999999999997
2019-03-11,9611,0.0
2019-03-18,9611,0.0
2019-03-25,9611,0.0
2019-04-01,9611,15.257142857142856
2019-04-08,9611,0.0
2019-04-15,9611,0.7714285714285715
2019-04-22,9611,0.0
2019-04-29,9611,7.5
2019-05-06,9611,8.171428571428573
2019-05-13,9611,3.1142857142857143
2019-05-20,9611,15.314285714285715
2019-05-27,9611,8.371428571428572
2019-06-03,9611,13.485714285714286
2019-06-10,9611,19.542857142857144
2019-06-17,9611,13.142857142857142
2019-06-24,9611,4.228571428571429
2019-07-01,9611,10.057142857142859
2019-07-08,9611,3.2285714285714286
2019-07-15,9611,14.828571428571427
2019-07-22,9611,5.6000000000000005
2019-07-29,9611,4.542857142857143
2019-08-05,9611,0.0
2019-08-12,9611,12.114285714285714
2019-08-19,9611,14.142857142857142
2019-08-26,9611,18.2
2019-09-02,9611,1.1428571428571428
2019-09-09,9611,12.0
2019-09-16,9611,8.742857142857142
2019-09-23,9611,2.771428571428572
2019-09-30,9611,5.685714285714285
2019-10-07,9611,8.485714285714286
2019-10-14,9611,4.285714285714286
2019-10-21,9611,10.314285714285715
2019-10-28,9611,14.200000000000001
2019-11-04,9611,11.257142857142856
2019-11-11,9611,18.400000000000002
2019-11-18,9611,9.457142857142857
2019-11-25,9611,7.3428571428571425
2019-12-02,9611,46.48571428571429
2019-12-09,9611,8.628571428571428
2019-12-16,9611,8.057142857142857
2019-12-23,9611,31.657142857142855
2019-12-30,9611,0.0
2020-01-06,9611,1.5142857142857145
2020-01-13,9611,1.342857142857143
2020-01-20,9611,8.571428571428571
2020-01-27,9611,0.42857142857142855
2020-02-03,9611,3.2857142857142856
2020-02-10,9611,13.542857142857143
2020-02-17,9611,11.285714285714286
2020-02-24,9611,3.228571428571428
2020-03-02,9611,0.0
2020-03-09,9611,2.1714285714285713
2020-03-16,9611,0.2571428571428572
2020-03-23,9611,12.771428571428572
2020-03-30,9611,0.028571428571428574
2020-04-06,9611,1.6285714285714283
2020-04-13,9611,0.2857142857142857
2020-04-20,9611,0.5999999999999999
2020-04-27,9611,5.714285714285714
2020-05-04,9611,7.6571428571428575
2020-05-11,9611,0.05714285714285715
2020-05-18,9611,12.342857142857143
2020-05-25,9611,9.971428571428572
2020-06-01,9611,7.571428571428571
2020-06-08,9611,14.085714285714285
2020-06-15,9611,9.257142857142856
2020-06-22,9611,18.685714285714287
2020-06-29,9611,4.8
2020-07-06,9611,8.085714285714285
2020-07-13,9611,7.371428571428571
2020-07-20,9611,14.571428571428571
2020-07-27,9611,8.514285714285714
2020-08-03,9611,4.6000000000000005
2020-08-10,9611,2.6285714285714286
2020-08-17,9611,15.314285714285715
2020-08-24,9611,25.599999999999998
2020-08-31,9611,2.3428571428571425
2020-09-07,9611,8.285714285714286
2020-09-14,9611,19.685714285714287
2020-09-21,9611,9.342857142857143
2020-09-28,9611,8.77142857142857
2020-10-05,9611,17.8
2020-10-12,9611,5.085714285714286
2020-10-19,9611,4.6000000000000005
2020-10-26,9611,24.96666666666667
2020-11-02,9611,24.258064516129036
2020-11-09,9611,23.5494623655914
2020-11-16,9611,22.840860215053766
2020-11-23,9611,22.13225806451613
2020-11-30,9611,21.423655913978497
2020-12-07,9611,20.715053763440864
2020-12-14,9611,20.006451612903227
2020-12-21,9611,19.297849462365594
2020-12-28,9611,18.589247311827958
2021-01-04,9611,17.880645161290325
2021-01-11,9611,17.172043010752688
2021-01-18,9611,16.463440860215055
2021-01-25,9611,15.75483870967742
2021-02-01,9611,15.046236559139787
2021-02-08,9611,14.337634408602153
2021-02-15,9611,13.629032258064518
2021-02-22,9611,12.920430107526883
2021-03-01,9611,12.211827956989248
2021-03-08,9611,11.503225806451615
2021-03-15,9611,10.79462365591398
2021-03-22,9611,10.086021505376346
2021-03-29,9611,9.377419354838711
2021-04-05,9611,8.668817204301078
2021-04-12,9611,7.9602150537634415
2021-04-19,9611,7.2516129032258085
2021-04-26,9611,6.543010752688172
2021-05-03,9611,5.834408602150539
2021-05-10,9611,5.125806451612906
2021-05-17,9611,4.4172043010752695
2021-05-24,9611,3.7086021505376365
2021-05-31,9611,3.0
2021-06-07,9611,12.314285714285715
2021-06-14,9611,12.828571428571427
2021-06-21,9611,12.571428571428571
2021-06-28,9611,10.685714285714287
2021-07-05,9611,11.028571428571428
2021-07-12,9611,7.314285714285714
2021-07-19,9611,0.9428571428571428
2021-07-26,9611,5.828571428571428
2021-08-02,9611,2.314285714285714
2021-08-09,9611,2.457142857142857
2021-08-16,9611,18.914285714285715
2021-08-23,9611,2.085714285714286
2021-08-30,9611,6.057142857142857
2021-09-06,9611,12.542857142857143
2021-09-13,9611,2.9142857142857146
2021-09-20,9611,11.114285714285714
2021-09-27,9611,5.885714285714286
2021-10-04,9611,3.7428571428571433
2021-10-11,9611,0.14285714285714285
2021-10-18,9611,12.314285714285715
2021-10-25,9611,10.714285714285714
2021-11-01,9611,8.77142857142857
2021-11-08,9611,1.5142857142857142
2021-11-15,9611,24.314285714285713
2021-11-22,9611,14.257142857142856
2021-11-29,9611,4.114285714285715
2021-12-06,9611,19.74285714285714
2021-12-13,9611,7.314285714285715
2021-12-20,9611,61.371428571428574
2021-12-27,9611,5.314285714285715
