date,station,press
2019-01-07,9611,1009.8661870503597
2019-01-14,9611,1009.684
2019-01-21,9611,1009.2866666666666
2019-01-28,9611,1011.3043859649123
2019-02-04,9611,1011.0827586206897
2019-02-11,9611,1010.7489208633094
2019-02-18,9611,1011.3916129032259
2019-02-25,9611,1009.6513888888888
2019-03-04,9611,1007.7386206896552
2019-03-11,9611,1008.7680272108843
2019-03-18,9611,1009.8702702702702
2019-03-25,9611,1007.7202702702704
2019-04-01,9611,1008.4943396226415
2019-04-08,9611,1008.3233766233766
2019-04-15,9611,1006.7012269938649
2019-04-22,9611,1005.425
2019-04-29,9611,1005.8773333333334
2019-05-06,9611,1007.1839743589744
2019-05-13,9611,1005.9220858895704
2019-05-20,9611,1007.0960784313726
2019-05-27,9611,1006.6969135802469
2019-06-03,9611,1005.2012048192771
2019-06-10,9611,1006.1868263473054
2019-06-17,9611,1006.4329341317365
2019-06-24,9611,1005.4993939393939
2019-07-01,9611,1006.1976190476191
2019-07-08,9611,1006.5145454545454
2019-07-15,9611,1007.3624242424241
2019-07-22,9611,1004.9463855421687
2019-07-29,9611,1007.1881987577639
2019-08-05,9611,1006.0897590361445
2019-08-12,9611,1004.9282894736842
2019-08-19,9611,1007.4825806451612
2019-08-26,9611,1007.0268292682927
2019-09-02,9611,1005.634193548387
2019-09-09,9611,1006.7835365853658
2019-09-16,9611,1007.7981818181819
2019-09-23,9611,1007.258125
2019-09-30,9611,1008.9472727272727
2019-10-07,9611,1007.8778443113773
2019-10-14,9611,1007.2357575757576
2019-10-21,9611,1006.905487804878
2019-10-28,9611,1006.5886075949367
2019-11-04,9611,1006.5198795180722
2019-11-11,9611,1007.1590361445783
2019-11-18,9611,1007.7625766871165
2019-11-25,9611,1008.0955974842768
2019-12-02,9611,1007.3415662650604
2019-12-09,9611,1009.7198757763974
2019-12-16,9611,1008.6112582781457
2019-12-23,9611,1008.2920731707317
2019-12-30,9611,1008.7343373493976
2020-01-06,9611,1010.4047904191617
2020-01-13,9611,1007.6265432098766
2020-01-20,9611,1008.8866666666665
2020-01-27,9611,1008.869512195122
2020-02-03,9611,1009.0072727272728
2020-02-10,9611,1009.54099378882
2020-02-17,9611,1009.0858024691357
2020-02-24,9611,1010.7305389221557
2020-03-02,9611,1007.8248484848485
2020-03-09,9611,1007.6416149068323
2020-03-16,9611,1007.6296296296297
2020-03-23,9611,1008.1302469135803
2020-03-30,9611,1006.1434782608696
2020-04-06,9611,1006.9603658536586
2020-04-13,9611,1007.50625
2020-04-20,9611,1006.9325153374233
2020-04-27,9611,1006.7073619631901
2020-05-04,9611,1006.4175757575757
2020-05-11,9611,1004.8092024539877
2020-05-18,9611,1003.86875
2020-05-25,9611,1005.3932926829268
2020-06-01,9611,1007.3381818181817
2020-06-08,9611,1006.1303797468355
2020-06-15,9611,1004.7592356687899
2020-06-22,9611,1005.5827160493827
2020-06-29,9611,1005.0243589743588
2020-07-06,9611,1004.9184713375797
2020-07-13,9611,1005.2590909090909
2020-07-20,9611,1004.5041916167665
2020-07-27,9611,1004.7285714285714
2020-08-03,9611,1004.9647727272727
2020-08-10,9611,1004.9970296182161
2020-08-17,9611,1005.0292865091594
2020-08-24,9611,1005.0615434001028
2020-08-31,9611,1005.0938002910461
2020-09-07,9611,1005.1260571819894
2020-09-14,9611,1005.1583140729327
2020-09-21,9611,1005.1905709638761
2020-09-28,9611,1005.2228278548195
2020-10-05,9611,1005.2550847457628
2020-10-12,9611,1003.5872727272726
2020-10-19,9611,1004.0065476190476
2020-10-26,9611,1005.6435897435898
2020-11-02,9611,1005.5933356965616
2020-11-09,9611,1005.5430816495333
2020-11-16,9611,1005.492827602505
