date,station,humid
2019-01-07,9611,83.67482014388489
2019-01-14,9611,83.89763779527559
2019-01-21,9611,82.31533333333333
2019-01-28,9611,78.35221238938053
2019-02-04,9611,79.53448275862068
2019-02-11,9611,72.03941605839415
2019-02-18,9611,78.0577922077922
2019-02-25,9611,74.09655172413792
2019-03-04,9611,73.76758620689655
2019-03-11,9611,71.08707482993196
2019-03-18,9611,69.31148648648649
2019-03-25,9611,70.6277027027027
2019-04-01,9611,76.86075949367088
2019-04-08,9611,72.65033112582782
2019-04-15,9611,71.44969325153374
2019-04-22,9611,67.9820987654321
2019-04-29,9611,73.738
2019-05-06,9611,73.01282051282051
2019-05-13,9611,68.62560975609756
2019-05-20,9611,76.69415584415584
2019-05-27,9611,77.55962732919255
2019-06-03,9611,74.60848484848485
2019-06-10,9611,79.79638554216868
2019-06-17,9611,77.01757575757576
2019-06-24,9611,77.48969696969696
2019-07-01,9611,78.1297619047619
2019-07-08,9611,75.29325153374232
2019-07-15,9611,73.90424242424243
2019-07-22,9611,76.07228915662651
2019-07-29,9611,75.87888198757764
2019-08-05,9611,70.41867469879519
2019-08-12,9611,74.62941176470588
2019-08-19,9611,76.52
2019-08-26,9611,78.58353658536586
2019-09-02,9611,74.30000000000001
2019-09-09,9611,77.6189024390244
2019-09-16,9611,75.74606060606061
2019-09-23,9611,76.16437499999999
2019-09-30,9611,78.07878787878788
2019-10-07,9611,77.98982035928144
2019-10-14,9611,79.71646341463415
2019-10-21,9611,84.69695121951219
2019-10-28,9611,88.01346153846154
2019-11-04,9611,84.54060606060607
2019-11-11,9611,87.44431137724551
2019-11-18,9611,88.10683229813665
2019-11-25,9611,88.52784810126582
2019-12-02,9611,98.04638554216868
2019-12-09,9611,94.13664596273291
2019-12-16,9611,89.69172932330827
2019-12-23,9611,86.33795620437955
2019-12-30,9611,79.84036144578313
2020-01-06,9611,83.26265060240964
2020-01-13,9611,80.32453987730061
2020-01-20,9611,84.80382165605096
2020-01-27,9611,80.69874999999999
2020-02-03,9611,80.63312883435583
2020-02-10,9611,82.70496894409938
2020-02-17,9611,84.32162162162163
2020-02-24,9611,84.41636363636364
2020-03-02,9611,75.29085365853659
2020-03-09,9611,75.08780487804877
2020-03-16,9611,73.95061728395062
2020-03-23,9611,73.90308641975308
2020-03-30,9611,74.91304347826087
2020-04-06,9611,76.77439024390245
2020-04-13,9611,70.64259259259259
2020-04-20,9611,72.27914110429448
2020-04-27,9611,80.94601226993865
2020-05-04,9611,82.66829268292683
2020-05-11,9611,76.72331288343558
2020-05-18,9611,81.43913043478261
2020-05-25,9611,77.9
2020-06-01,9611,81.39451219512196
2020-06-08,9611,83.64430379746835
2020-06-15,9611,83.68089171974522
2020-06-22,9611,85.13888888888889
2020-06-29,9611,83.89622641509433
2020-07-06,9611,81.83694267515924
2020-07-13,9611,84.0673202614379
2020-07-20,9611,80.39277108433735
2020-07-27,9611,79.67283950617283
2020-08-03,9611,81.37161290322581
2020-08-10,9611,83.80324675324675
2020-08-17,9611,84.0625
2020-08-24,9611,83.69926470588236
2020-08-31,9611,81.84496644295302
2020-09-07,9611,81.5060606060606
2020-09-14,9611,85.83105590062111
2020-09-21,9611,83.46036585365853
2020-09-28,9611,83.17423312883436
2020-10-05,9611,84.39197530864197
2020-10-12,9611,83.0721212121212
2020-10-19,9611,83.27857142857142
2020-10-26,9611,88.68376068376068
2020-11-02,9611,88.6541002008744
2020-11-09,9611,88.6244397179881
2020-11-16,9611,88.59477923510181
2020-11-23,9611,88.56511875221553
2020-11-30,9611,88.53545826932924
2020-12-07,9611,88.50579778644294
2020-12-14,9611,88.47613730355665
2020-12-21,9611,88.44647682067037
2020-12-28,9611,88.41681633778408
2021-01-04,9611,88.38715585489778
2021-01-11,9611,88.3574953720115
2021-01-18,9611,88.32783488912521
2021-01-25,9611,88.29817440623893
2021-02-01,9611,88.26851392335263
2021-02-08,9611,88.23885344046634
2021-02-15,9611,88.20919295758006
2021-02-22,9611,88.17953247469377
2021-03-01,9611,88.14987199180747
2021-03-08,9611,88.12021150892119
2021-03-15,9611,88.0905510260349
2021-03-22,9611,88.06089054314862
2021-03-29,9611,88.03123006026232
2021-04-05,9611,88.00156957737603
2021-04-12,9611,87.97190909448975
2021-04-19,9611,87.94224861160346
2021-04-26,9611,87.91258812871716
2021-05-03,9611,87.88292764583088
2021-05-10,9611,87.85326716294459
2021-05-17,9611,87.8236066800583
2021-05-24,9611,87.793946197172
2021-05-31,9611,87.76428571428572
2021-06-07,9611,87.71111111111111
2021-06-14,9611,86.43037974683544
2021-06-21,9611,85.40425531914893
2021-06-28,9611,83.176
2021-07-05,9611,86.8
2021-07-12,9611,85.16073619631902
2021-07-19,9611,80.48846153846155
2021-07-26,9611,85.84676258992806
2021-08-02,9611,83.95686274509804
2021-08-09,9611,84.51041666666667
2021-08-16,9611,88.64774193548386
2021-08-23,9611,86.37134146341464
2021-08-30,9611,84.87861635220126
2021-09-06,9611,85.240625
2021-09-13,9611,78.57080745341615
2021-09-20,9611,84.0913043478261
2021-09-27,9611,82.3360248447205
2021-10-04,9611,82.52202380952382
2021-10-11,9611,77.39938271604939
2021-10-18,9611,81.71533742331289
2021-10-25,9611,84.41575757575758
2021-11-01,9611,82.87530120481927
2021-11-08,9611,85.4422619047619
2021-11-15,9611,90.77425149700598
2021-11-22,9611,84.01369047619048
2021-11-29,9611,92.71463414634147
2021-12-06,9611,90.22168674698794
2021-12-13,9611,84.8452380952381
2021-12-20,9611,93.96832298136646
2021-12-27,9611,82.96107784431138
