date,temp
2018-01-07,26.3297321667323
2018-01-14,25.767399840406586
2018-01-21,26.974134063365856
2018-01-28,27.250917152069373
2018-02-04,25.989107702944047
2018-02-11,26.74554856674367
2018-02-18,26.759816501342222
2018-02-25,27.30395679523284
2018-03-03,27.88264836322181
2018-03-10,27.50802254285593
2018-03-17,27.527550218263276
2018-03-24,28.1837883660771
2018-03-31,28.165022657598797
2018-04-07,27.914016989160626
2018-04-14,28.538655982055083
2018-04-21,28.18281104639089
2018-04-28,28.60247881824133
2018-05-05,28.78047314102375
2018-05-12,29.516097594877404
2018-05-19,28.78601176080148
2018-05-26,28.415381613561586
2018-06-02,29.03942744006134
2018-06-09,29.196871172061538
2018-06-16,27.804622378645625
2018-06-23,27.484761689917388
2018-06-30,27.305047444037363
2018-07-07,28.603409784198675
2018-07-14,29.27994090397945
2018-07-21,27.937990014711747
2018-07-28,28.128765786175954
2018-08-04,28.21116843097485
2018-08-11,29.450518241814084
2018-08-18,27.875451823665237
2018-08-25,27.848125352325244
2018-09-01,26.872355657157282
2018-09-08,26.480467226513547
2018-09-15,26.98182799831662
2018-09-22,28.295151728865555
2018-09-29,28.455796314839663
2018-10-06,27.601906724102122
2018-10-13,28.182930694174182
2018-10-20,27.898848911110736
2018-10-27,27.175692233184517
2018-11-03,27.177599733051125
2018-11-10,27.476286740194784
2018-11-17,27.101359640927893
2018-11-24,27.511103260868673
2018-12-01,27.279853706283955
2018-12-08,27.255824608892766
2018-12-15,27.410022134745585
2018-12-22,27.39316214058641
2018-12-29,27.058075042666584
2019-01-07,27.282259312241813
2019-01-14,27.177412052643046
2019-01-21,26.849482188627054
2019-01-28,27.270082592981037
2019-02-04,27.90342487626752
2019-02-11,27.377460768624243
2019-02-18,28.465472839427644
2019-02-25,27.79522896711431
2019-03-03,28.004460724273287
2019-03-10,29.06603986687833
2019-03-17,29.377021846616167
2019-03-24,28.66671437159962
2019-03-31,29.41711441752504
2019-04-07,29.870474045696238
2019-04-14,30.859489541274687
2019-04-21,30.311682073990095
2019-04-28,30.178782752990507
2019-05-05,30.392621256900192
2019-05-12,29.464486615711742
2019-05-19,29.199106716833562
2019-05-26,29.617108052472826
2019-06-02,28.778532741440113
2019-06-09,29.71948685783635
2019-06-16,28.690433468519792
2019-06-23,28.998898067593526
2019-06-30,29.476211525053944
2019-07-07,28.24791111956651
2019-07-14,28.747844055975683
2019-07-21,28.59322869151828
2019-07-28,29.810506953186
2019-08-04,29.17454716845243
2019-08-11,28.972431066155565
2019-08-18,28.790019455047855
2019-08-25,28.61881723160807
2019-09-01,29.29732119065984
2019-09-08,28.261151185752308
2019-09-15,28.613828589387936
2019-09-22,28.730632317671077
2019-09-29,28.32552152712467
2019-10-06,27.931520420447583
2019-10-13,27.461737005457035
2019-10-20,27.263879515678138
2019-10-27,27.24832314920857
2019-11-03,26.755922939711052
2019-11-10,26.627352738208828
2019-11-17,26.406192080703686
2019-11-24,24.75161955788974
2019-12-01,25.035945563172174
2019-12-08,25.28996287016986
2019-12-15,26.00066177817772
2019-12-22,26.385020883912485
2019-12-29,26.933123141023497
2020-01-07,26.97227654519369
2020-01-14,26.345550862840017
2020-01-21,26.936988937574597
2020-01-28,27.00669170582182
2020-02-04,25.948314209403026
2020-02-11,27.115004026797042
2020-02-18,26.810887355864356
2020-02-25,27.239424927731342
2020-03-03,28.339685887974507
2020-03-10,29.062546639195393
2020-03-17,27.73977028368679
2020-03-24,28.83766843481764
2020-03-31,28.72532172724368
2020-04-07,29.42988728361941
2020-04-14,29.591809879700342
2020-04-21,27.938386555592388
2020-04-28,27.874393095852668
2020-05-05,29.695493945567154
2020-05-12,29.328488733113495
2020-05-19,29.25345029208486
2020-05-26,28.476930089161613
2020-06-02,27.953018716160013
2020-06-09,28.15173413101788
2020-06-16,27.849440062071036
2020-06-23,27.658742678587164
2020-06-30,28.00057380460701
2020-07-07,27.713359695239433
2020-07-14,28.76275607371147
2020-07-21,28.50009586362819
2020-07-28,28.033280614621464
2020-08-04,28.394148488023113
2020-08-11,27.697377068061865
2020-08-18,27.676181845812373
2020-08-25,28.406527838733783
2020-09-01,27.93349495742135
2020-09-08,27.383191049649216
2020-09-15,27.455227609476513
2020-09-22,27.730009109457217
2020-09-29,27.75270515451306
2020-10-06,27.11804543039577
2020-10-13,27.5505373996733
2020-10-20,26.72097516181637
2020-10-27,27.472992575940733
2020-11-03,26.604584069649572
2020-11-10,27.056411460135504
2020-11-17,26.259050259433288
2020-11-24,25.20969377126038
2020-12-01,25.325637456843776
2020-12-08,26.422232783838904
2020-12-15,25.138521800450093
2020-12-22,26.055254047655783
2020-12-29,26.442933039897035
2021-01-07,24.8939618324864
2021-01-14,25.50165693172989
2021-01-21,26.224949169585006
2021-01-28,26.129602763265925
2021-02-04,26.70133255005399
2021-02-11,26.546067601699587
2021-02-18,26.128870648887062
2021-02-25,27.767860600942868
2021-03-03,27.19957022114272
2021-03-10,27.277093996577253
2021-03-17,27.642430193131183
2021-03-24,27.157697773775226
2021-03-31,28.174242917930552
2021-04-07,27.630300502627534
2021-04-14,28.600090009894696
2021-04-21,27.84202715164593
2021-04-28,28.061025966619166
2021-05-05,28.105192248532358
2021-05-12,28.91852812327736
2021-05-19,28.317892485136323
2021-05-26,28.58369502223785
2021-06-02,28.045815788942203
2021-06-09,28.146337147702297
2021-06-16,28.11030727149592
2021-06-23,28.329844277039857
2021-06-30,28.374822977906852
2021-07-07,27.486404276570795
2021-07-14,29.343051639290024
2021-07-21,29.54486462510128
2021-07-28,28.127499474655956
