date,rain
2020-08-01,24.2
2020-08-02,4.6
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,2.2
2020-08-08,8
2020-08-09,0
2020-08-10,2.6
2020-08-11,68
2020-08-12,0.4
2020-08-13,4.4
2020-08-14,36
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,3.2
2020-08-19,22
2020-08-20,35.6
2020-08-21,0
2020-08-22,1.6
2020-08-23,4.2
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0.6
2020-08-28,0
2020-08-29,12.4
2020-08-30,7.8
2020-08-31,0
