date,humidity
2019-01-07,85.89712603485759
2019-01-14,81.64203663982491
2019-01-21,79.54577462023131
2019-01-28,83.89031104917963
2019-02-04,78.37856469239601
2019-02-11,80.07071869959464
2019-02-18,78.20186551919213
2019-02-25,77.07876412467262
2019-03-03,75.9177736284714
2019-03-10,75.09002991174653
2019-03-17,73.61204373667043
2019-03-24,81.03439674995093
2019-03-31,77.90385009571881
2019-04-07,77.22688145461811
2019-04-14,75.67953065583463
2019-04-21,76.88982148512541
2019-04-28,79.29606771495448
2019-05-05,75.09437646908849
2019-05-12,80.67707987475752
2019-05-19,82.64352066066579
2019-05-26,82.48959307465462
2019-06-02,84.2091754861655
2019-06-09,82.5672580449742
2019-06-16,83.29408899861747
2019-06-23,83.65990081057396
2019-06-30,82.1228219686457
2019-07-07,80.84715338951506
2019-07-14,82.13465941792234
2019-07-21,81.78432517619511
2019-07-28,77.58111007487467
2019-08-04,78.72927261747623
2019-08-11,82.52146934249252
2019-08-18,81.54178810312354
2019-08-25,80.32978439216389
2019-09-01,80.54623609457971
2019-09-08,82.28240356736046
2019-09-15,82.80449161482656
2019-09-22,82.67891927995397
2019-09-29,81.88882538760534
2019-10-06,83.89986857224265
2019-10-13,87.45059235548628
2019-10-20,88.10795104847342
2019-10-27,86.38181591951472
2019-11-03,88.27396832643258
2019-11-10,89.70842851759653
2019-11-17,89.32203780505202
2019-11-24,96.38122385237209
2019-12-01,92.1404688240635
2019-12-08,89.60678724553783
2019-12-15,87.98535566518888
2019-12-22,83.31506020423818
2019-12-29,86.43946352254596
2020-01-07,84.16921152496361
2020-01-14,85.79535731969678
2020-01-21,83.25578983455651
2020-01-28,82.93419131096285
2020-02-04,84.74090238657537
2020-02-11,86.32634187673557
2020-02-18,84.08901120231883
2020-02-25,81.48747427696244
2020-03-03,81.72101597633511
2020-03-10,80.76575050565621
2020-03-17,79.75989373744923
2020-03-24,80.54593621053542
2020-03-31,82.02590261917668
2020-04-07,78.27436225968461
2020-04-14,79.84049160683787
2020-04-21,84.67791606101962
2020-04-28,85.63981821761926
2020-05-05,82.02053114087403
2020-05-12,83.35717428071756
2020-05-19,82.1824644192624
2020-05-26,85.19105643178855
2020-06-02,85.68316500086296
2020-06-09,85.37944853777343
2020-06-16,86.12540197783392
2020-06-23,86.53800013799334
2020-06-30,84.83422486691022
2020-07-07,85.43838022422177
2020-07-14,82.48668120181732
2020-07-21,82.9690873876212
2020-07-28,84.6923268722113
2020-08-04,84.9094107509233
2020-08-11,84.75414333821662
2020-08-18,85.00587735760271
2020-08-25,83.7231245197194
2020-09-01,85.19685274124963
2020-09-08,84.6380825482878
2020-09-15,80.40468684457002
2020-09-22,78.91653107160948
2020-09-29,78.46582675867528
2020-10-06,77.11570697855007
2020-10-13,74.27691218373896
2020-10-20,76.41446958179333
2020-10-27,76.47432509510426
2020-11-03,81.30904624225914
2020-11-10,79.58705559336134
2020-11-17,83.03337908540753
2020-11-24,84.29674216855871
2020-12-01,82.29845711450521
2020-12-08,80.5110750718218
2020-12-15,83.73465366252117
2020-12-22,85.914658179894
2020-12-29,84.72441248457012
2021-01-07,90.65269790533834
2021-01-14,85.27243511023399
2021-01-21,83.02606546074877
2021-01-28,84.42318456265905
2021-02-04,82.20972094855303
2021-02-11,81.225818019149
2021-02-18,78.4708989344559
2021-02-25,77.88309878561894
2021-03-03,83.06391548654145
2021-03-10,80.7937159410025
2021-03-17,81.75812317807252
2021-03-24,87.49673478630109
2021-03-31,83.95348073404234
2021-04-07,82.77615817180182
2021-04-14,81.4832025230585
2021-04-21,84.39652859978123
2021-04-28,85.55359047187383
2021-05-05,85.34578554728368
2021-05-12,84.21349050528225
2021-05-19,84.8811251963774
2021-05-26,83.66581089886665
2021-06-02,85.35756733037688
2021-06-09,82.69205708092555
2021-06-16,81.75158672860151
2021-06-23,81.4536932002343
2021-06-30,83.06663965298357
2021-07-07,85.76460840968626
2021-07-14,81.20603473991206
2021-07-21,81.02630868106549
2021-07-28,81.69418545302872
2021-08-04,81.37940358198047
2021-08-11,87.45948579536454
2021-08-18,84.83355057032436
2021-08-25,84.72033511311086
2021-09-01,82.4219197406935
2021-09-08,83.042947278449
2021-09-15,84.82592629966302
2021-09-22,83.11337958586473
2021-09-29,83.70873952293816
2021-10-06,78.56772389833084
2021-10-13,83.78368092133655
2021-10-20,85.12732107659721
2021-10-27,86.32527449558937
2021-11-03,87.28583448874973
2021-11-10,88.77157628828787
2021-11-17,86.9817757252914
2021-11-24,92.1487619451593
2021-12-01,87.39786334771406
2021-12-08,86.48723766286227
2021-12-15,90.58333669785954
2021-12-22,83.68722629975106
2021-12-29,93.86566991009032
2022-01-07,82.73144725567512
2022-01-14,81.78365913538103
2022-01-21,79.69195612957438
2022-01-28,79.26664127268918
2022-02-04,87.66275004392394
2022-02-11,88.36358166688242
2022-02-18,84.43883963115616
2022-02-25,89.57973501161962
2022-03-03,86.83384508981041
2022-03-10,83.12672720124381
2022-03-17,84.13087419332237
2022-03-24,80.55271754790878
2022-03-31,86.10509840787459
2022-04-07,81.68285982432124
2022-04-14,81.35814944023699
2022-04-21,80.31419780238707
2022-04-28,84.80081544001041
2022-05-05,86.56258088976782
2022-05-12,83.08008454615371
2022-05-19,80.12776261292028
2022-05-26,81.65507481349164
2022-06-02,82.17549623779101
2022-06-09,82.2789731884641
2022-06-16,83.32969789596372
2022-06-23,81.88820965702237
2022-06-30,83.41169685997959
2022-07-07,85.80814913415689
2022-07-14,83.65276608242144
2022-07-21,83.50203358778565
2022-07-28,85.9057834272479
