date,press
2019-01-07,1005.8206886137922
2019-01-14,1005.0095839733798
2019-01-21,1007.0355665892163
2019-01-28,1006.7820400547254
2019-02-04,1008.4521538432455
2019-02-11,1009.7695613232833
2019-02-18,1007.8904426456335
2019-02-25,1005.9584556104883
2019-03-03,1006.612088182839
2019-03-10,1007.961191410174
2019-03-17,1005.949733292632
2019-03-24,1006.4086906143199
2019-03-31,1006.7900932588901
2019-04-07,1005.1572439744442
2019-04-14,1004.4435737645389
2019-04-21,1004.3042325001672
2019-04-28,1005.9512466231618
2019-05-05,1004.7591644512402
2019-05-12,1005.6641467149533
2019-05-19,1005.9102405968708
2019-05-26,1004.1397629991785
2019-06-02,1004.9993838615683
2019-06-09,1004.8474847276082
2019-06-16,1004.6712789174366
2019-06-23,1005.1287157277582
2019-06-30,1005.0646791937135
2019-07-07,1006.7491701626429
2019-07-14,1003.508630479917
2019-07-21,1005.6756893298168
2019-07-28,1004.7567803770006
2019-08-04,1002.9419538524264
2019-08-11,1005.5276397435536
2019-08-18,1005.3229510288485
2019-08-25,1004.096910535757
2019-09-01,1005.3760409493085
2019-09-08,1006.8583444860466
2019-09-15,1005.4202380405346
2019-09-22,1007.7007744997927
2019-09-29,1006.8008644824612
2019-10-06,1006.2414426197545
2019-10-13,1005.8018658080731
2019-10-20,1005.2601646506973
2019-10-27,1005.3726724030192
2019-11-03,1006.3291296188161
2019-11-10,1006.0644099844257
2019-11-17,1006.4067175441512
2019-11-24,1005.7150885114313
2019-12-01,1007.7964633267736
2019-12-08,1007.3104912443926
2019-12-15,1006.22037748365
2019-12-22,1006.7338731423454
2019-12-29,1006.5816467634334
2020-01-07,1005.7393326775249
2020-01-14,1007.0731142565481
2020-01-21,1007.0555317752115
2020-01-28,1007.1428014891027
2020-02-04,1007.7225968014799
2020-02-11,1007.2311819216271
2020-02-18,1008.9046142279458
2020-02-25,1005.9958574763496
2020-03-03,1005.9199424866458
2020-03-10,1005.8195800229342
2020-03-17,1006.2891847049258
2020-03-24,1004.363255629163
2020-03-31,1005.1388994333707
2020-04-07,1005.6499958714965
2020-04-14,1005.1424247552533
2020-04-21,1005.0822267069165
2020-04-28,1004.8809321404254
