date,press
2023-01-14,1006.8773186976658
2023-01-21,1005.8989164197828
2023-01-28,1006.3987055273054
2023-02-04,1005.5999000990447
2023-02-11,1006.7625449486897
2023-02-18,1007.3632388932598
2023-02-25,1010.051512136599
2023-03-03,1009.350904585235
2023-03-10,1007.2122180139816
2023-03-17,1004.7168939390416
2023-03-24,1004.9874780155902
2023-03-31,1004.7132438925084
2023-04-07,1005.6819071864684
2023-04-14,1003.3814667675779
2023-04-21,1003.6422373085871
2023-04-28,1003.7733682632128
2023-05-05,1003.1157942477646
2023-05-12,1006.3124250488729
2023-05-19,1005.6906152732092
2023-05-26,1004.0521652267443
2023-06-02,1004.6009795044617
2023-06-09,1004.3176251080847
2023-06-16,1005.0803325639374
2023-06-23,1004.0707304618999
2023-06-30,1005.036591876775
2023-07-07,1005.2374694290227
2023-07-14,1004.00504931594
2023-07-21,1006.2202468961171
2023-07-28,1006.7066887509719
2023-08-04,1008.173649729535
2023-08-11,1006.9391984329587
2023-08-18,1006.0069567505242
2023-08-25,1005.7862498306866
2023-09-01,1005.6530750390009
2023-09-08,1006.811198946693
2023-09-15,1006.6072315041728
2023-09-22,1006.2314469130459
2023-09-29,1007.6427878234829
2023-10-06,1008.1267964497516
2023-10-13,1007.5520465624955
2023-10-20,1008.5944598318007
2023-10-27,1007.2720192572258
2023-11-03,1007.2161222275093
2023-11-10,1008.5267099573374
2023-11-17,1007.7949542103897
2023-11-24,1006.9463182922269
2023-12-01,1007.4359110809739
2023-12-08,1007.1870551671769
2023-12-15,1008.1511538606592
2023-12-22,1010.2825444719762
2023-12-29,1008.5254273154029
